"~start_node_id","~start_node_labels","~start_node_property_name","~relationship_type","~relationship_property_name","~end_node_id","~end_node_labels","~end_node_property_name"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:59","Investment_Strategy","indexing","combined_with","gets_a_free_ride_off","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:69","Investment_Strategy","people_who_are_doing_active_management"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:60","Speaker","Asness","combined_with","believe","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:61","Description","underreaction"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:62","Investment_Strategy","Long_short_value_fixed_income_country_portfolio","correlated_with","has_volatility","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:63","Asset_Class","3_percent"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:64","Investment_Strategy","momentum","underperformed_in","underperformed_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:49","Market","Japan"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:64","Investment_Strategy","momentum","combined_with","is_largely_an_inefficiency_in_the_market","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:96","Correlation_Type","data_mining_and_risk_based_explanations"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:64","Investment_Strategy","momentum","correlated_with","is_largely_an_inefficiency_in_the_market","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:65","Correlation_Type","overreaction_or_underreaction"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:66","Investment_Strategy","Momentum","outperformed_in","outperformed_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:49","Market","Japan"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:67","Person","Many managers","applied_to","loved_quant_methods","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:68","Time_Period","one year ago"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:70","Algorithm","Portfolio management system in equity market neutral","uses_algorithm","uses_algorithm","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:71","Algorithm","reinforcement learning"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:70","Algorithm","Portfolio management system in equity market neutral","uses_algorithm","uses","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:71","Algorithm","reinforcement learning"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:72","Algorithm","Long short-term memory rnn","resulted_in","is_mentioned_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:73","Student_Author","C. B. Vennerød, A. Kjærran, and E. S. Bugge"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:74","Algorithm","Portfolio management system in equity market neutral using reinforcement learning","resulted_in","is_published_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:75","Tool_Library","Journal of Computational Science"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:76","Author","Ou and Penman (1989)","authored_by","authored_by","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:77","Methodology","stepwise logistic regression methodology"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:79","Author","Kim and Nikolaev (2023a)","authored_by","authored_by","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:80","Methodology","ANN model"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:82","Student_Author","K. Park, H.-G. Jung, T.-S. Eom, and S.-W. Lee","implemented_in","implemented_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:83","Journal","IEEE Transactions on Neural Networks and Learning Systems"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:84","Algorithm","Markowitz's Portfolio Selection","published_in","is_published_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:85","Tool_Library","The Journal of Finance"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:86","Algorithm","LSTM","trained_on_data","trained_on_data","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:87","Data_Source","every stock"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:90","Student_Author","H. Markowitz","implemented_in","implemented_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:91","Journal_Article","The Journal of Finance, 7(1):77–91, 1952"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:94","Investment_Strategy","These quant strategies","applied_to","can_work_over_time","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:95","Time_Period","in other situations"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:50","Correlation_Type","inefficiency","Correlation_Type","was_convinced_of","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:51","Market","the market"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:26","Model","GPT","tested_outside_training_window","tested_outside_training_window","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:99","Prediction_Horizon","2021"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:44","Methodology","stepwise logistic regression","achieved_score","achieves_score","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:97","Metric","57.23%"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:46","Model","ANN","negatively_associated_with","negatively_associated_with","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:43","Firm_Characteristic","firm size decrease"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:46","Model","ANN","achieved_score","achieves_score","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:98","Metric","61.62%"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:46","Model","ANN","achieves_score","achieves_score","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:100","Metric","60.22%"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:14","Company","Nvidia","reported_by","reported_by","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:105","News_Source","The Information"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:14","Company","Nvidia","closed_at","erased_value_of","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:106","Monetary_Value","$243 billion"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:22","Company","Advanced Micro Devices","reported_by","stock_movement","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:14","Company","Nvidia"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:22","Company","Advanced Micro Devices","sank_over_9_","market_valuation","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:108","null","null"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:34","Company","Meta","intends_to_use","plans_to_use","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:104","Event_Type","Google's cloud division's chips for renting in 2024"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:36","Company","Alphabet","market_movement","stock_movement","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:107","Market_Movement","up ~2%"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:59","Investment_Strategy","indexing","combined_with","gets_a_free_ride_off","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:103","Investment_Strategy","the_people_who_are_doing_active_management"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:101","Correlation_Type","overreaction","underperformed_in","causes_an_overshoot","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:102","Investment_Strategy","with_money_tending_to_chase_performance"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:84","Algorithm","Markowitz's Portfolio Selection","resulted_in","is_published_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:85","Tool_Library","The Journal of Finance"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:90","Student_Author","H. Markowitz","resulted_in","resulted_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:111","Result_Metric","The Journal of Finance, 7(1):77–91, 1952"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:112","Model","GPT-4-turbo","outperforms","outperforms","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:113","Model","Gemini Pro 1.5"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:26","Model","GPT","achieved_score","achieves_score","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:114","Metric","60.31%"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:26","Model","GPT","utilizes_method","utilizes_method","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:115","Dataset","anonymized format of financial statements"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:26","Model","GPT","utilizes_method","utilizes_method","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:116","Dataset","financial information"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:64","Investment_Strategy","momentum","believed_to_be_caused_by","is_believed_to_be_caused_by","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:50","Correlation_Type","inefficiency"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:64","Investment_Strategy","momentum","believed_to_be_caused_by","believed_to_be_caused_by","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:117","Market","inefficiency"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:64","Investment_Strategy","momentum","believed_to_be_caused_by","is_believed_to_be_caused_by","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:117","Market","inefficiency"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:64","Investment_Strategy","momentum","correlated_with","is_partially_explained_by","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:118","Market","inefficiency_in_the_market"
